Symbol,Description
1A0.SI,Katrina Group Ltd.
1A1.SI,Wong Fong Industries Limited
1A4.SI,Agv Group Limited
1B0.SI,Mm2 Asia Ltd.
1B1.SI,Hc Surgical Specialistslimited
1B6.SI,Ocean Sky International Ltd
1C0.SI,Cedar Strategic Holdings Ltd
1C3.SI,Samurai 2k Aerosol Limited
1C5.SI,Pacific Star Development Ltd
1D0.SI,Kimly Limited
1D1.SI,Unusual Limited
1D3.SI,Lifebrandz Ltd.
1D4.SI,Aoxin Q & M Dental Grp Limited
1D5.SI,Capital World Limited.
1D8.SI,Singapore O&g Ltd.
1E3.SI,Sanli Environmental Limited
1E6.SI,World Class Global Limited
1F0.SI,Shopper360 Limited
1F1.SI,Y Ventures Group Ltd.
1F2.SI,Union Gas Holdings Limited
1F3.SI,Aspen (group) Holdings Limited
1G1.SI,Re&s Holdings Limited
1G6.SI,No Signboard Holdings Ltd.
1H2.SI,Olive Tree Estates Limited
1H3.SI,Clearbridge Health Limited
1H4.SI,Memories Group Limited
1H8.SI,Ly Corporation Limited
1I5.SI,Ayondo Ltd.
1J0.SI,Slb Development Ltd.
1J3.SI,Asian Healthcare Specialists
1J4.SI,Jep Holdings Ltd.
1J5.SI,Hyphens Pharma Intl Limited
1J7.SI,Jawala Inc.
3UJS.SI,Ny09100h 240901
40R.SI,Serrano Limited
41S.SI,Magnus Energy Group Ltd.
42W.SI,China Star Food Group Limited
43E.SI,Anchor Resources Limited
43F.SI,Acromec Limited
43P.SI,United Global Limited
43Q.SI,Advancer Global Limited
5A1B.SI,Astrea V3.85%b290620#
5AL.SI,Annica Holdings Limited
5AM.SI,Asiatravel.com Holdings Ltd
5CJ.SI,Chinese Global Investors Group Ltd
5CQ.SI,Technics Oil & Gas Limited
5DN.SI,Ezra Holdings Limited
5DW.SI,Renewable Energy Asia Grp Ltd
5EK.SI,Armarda Group Limited
5EN.SI,Midas Hldgs Limited
5FH.SI,Advance Sct Limited
5G4.SI,Infinio Group Limited
5IE.SI,Lorenzo International Limited
5KT.SI,Fujian Zhenyun Plas Ind Co Ltd
5MM.SI,Sky One Holdings Limited
5MQ.SI,Epicentre Holdings Limited
5MS.SI,Memstar Technology Ltd.
5OU.SI,China Environment Ltd.
5TW.SI,Chaswood Resources Hldgs Ltd.
5TY.SI,Advanced Systems Automation
600.SI,Hyflux Ltd
6SUS.SI,Ny05100n 200901
7PMS.SI,Ny07100x 220901
7QQS.SI,Nz07100s 270301
8YLS.SI,Nz19100s 390701
8YY.SI,Biolidics Limited
9HSW.SI,Dlc Socgen7xlonghsc 210723
A27.SI,Mdr Limited
A33.SI,Blumont Group Ltd.
A75.SI,Ace Achieve Infocom Limited
A7S.SI,Sunvic Chemical Holdings Ltd
AD8.SI,Sino Techfibre Limited
ADP.SI,Swissco Holdings Limited
AFC.SI,Yuuzoo Corporation
AFUS.SI,Nx15100z 250601
AFVS.SI,N515100s 200701
AXXZ.SI,Fcl Trea S$500m3.65%b220522
AZW.SI,China Taisan Tech Grp Hldgsltd
B07.SI,Next-gen Satellite Comm Ltd
B0Z.SI,China Fishery Group Limited
B66.SI,Pt Berlian Laju Tanker Tbk
BDN.SI,Ryobi Kiso Holdings Ltd.
BEV.SI,Swing Media Technology Grp Ltd
BEYZ.SI,Aspial Trea S$150m5.25%b200828
BGK.SI,Swiber Holdings Limited
BGO.SI,Universal Resource & Svcs Ltd
BJGS.SI,Na16100h 460301
BJHS.SI,Nx16100f 260601
BJIS.SI,Nz16100x 360801
BJJS.SI,N516100z 211001
BJV.SI,Yamada Green Resources Limited
BQI.SI,Asia Fashion Holdings Limited
BQM.SI,Tiong Woon Corp Holding Ltd
BR9.SI,China Hongxing Sports Limited
BRE.SI,Linc Energy Ltd
BRQZ.SI,Aspial Trea S$200m5.3%b200401
BRR.SI,The Stratech Group Limited
BRS.SI,Usp Group Limited
BSKZ.SI,Perennial S$280m4.55%n200429
BSL.SI,Raffles Medical Group Ltd
BTE.SI,Bund Center Investment Ltd
BTF.SI,Debao Property Development Ltd
BTG.SI,Hg Metal Manufacturing Ltd
BTJ.SI,A-sonic Aerospace Limited
BTM.SI,Penguin International Limited
BTNZ.SI,Oxley Mtn S$150m 5.15%b200518
BTOU.SI,Manulife Us Reit
