Symbol,Name,Currency,"Stock Exchange Long","Stock Exchange Short","Timezone Name"
0001.HK,"CK Hutchison Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0002.HK,"CLP Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0003.HK,"The Hong Kong and China Gas Company Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0004.HK,"Wharf Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0005.HK,"HSBC Holdings plc",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0006.HK,"Power Assets Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0007.HK,"Hong Kong Finance Investment Hldg Grp Ld",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0008.HK,"PCCW Limited Common Stock",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0009.HK,"Nine Express Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0010.HK,"Hang Lung Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0011.HK,"Hang Seng Bank",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0012.HK,"Henderson Land Development Co., Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0014.HK,"Hysan Development Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0015.HK,"Vantage International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0016.HK,"Sun Hung Kai Properties Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0017.HK,"New World Development Company Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0018.HK,"Oriental Press Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0019.HK,"SWIRE PAC LTD/REG SH A NPV",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0020.HK,"Wheelock and Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0021.HK,"Great China Properties Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0022.HK,"Mexan Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0023.HK,"Bank of East Asia Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0024.HK,"Burwill Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0025.HK,"Chevalier International Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0026.HK,"China Motor Bus Company Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0027.HK,"Galaxy Entertainment Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0028.HK,"Tian An China Investments Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0029.HK,"Dynamic Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0030.HK,"Ban Loong Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0031.HK,"China Aerospace International Holdings",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0032.HK,"Cross-Harbour Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0033.HK,"China Cloud Copper Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0034.HK,"Kowloon Development Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0035.HK,"Far East Consortium International Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0036.HK,"Far East Holdings International Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0037.HK,"Far East Hotels and Entertainment Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0038.HK,"FIRST TRACTOR/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0039.HK,"China Beidahuang Industry Group Hold Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0040.HK,"Gold Peak Industries (Holdings) Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0041.HK,"Great Eagle Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0042.HK,"NORTHEAST ELEC/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0043.HK,"C.P. POKPHAND CO. LTD",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0044.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0045.HK,"Hongkong and Shanghai Hotels Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0046.HK,"Computer and Technologies Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0047.HK,"Hop Hing Group Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0048.HK,"China Automotive Interior",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0050.HK,"Hong Kong Ferry Holdings Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0051.HK,"Harbour Centre Development Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0052.HK,"Fairwood Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0053.HK,"Guoco Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0054.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0055.HK,"Neway Group Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0056.HK,"Allied Properties (H.K.) Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0057.HK,"Chen Hsong Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0058.HK,"Sunway International Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0059.HK,"Skyfame Realty (Holdings) Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0060.HK,"Hong Kong Food Investment Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0061.HK,"Green Leader Holdings Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0062.HK,"Transport International Holdings Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0063.HK,"China Graphene Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0064.HK,"Get Nice Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0065.HK,"Grand Ocean Advanced Resources Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0066.HK,"MTR Corporation Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0067.HK,"China Lumena New Materials Corp",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0068.HK,"Lee Hing Development Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0069.HK,"Shangri-La Asia Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0070.HK,"Rich Goldman Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0071.HK,"Miramar Hotel & Investment Co. Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0072.HK,"Modern Media Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0073.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0075.HK,"Y. T. Realty Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0076.HK,"Elate Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0077.HK,"AMS Public Transport Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0078.HK,"Regal Hotels International Holdings Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0079.HK,"Century Legend Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0080.HK,"China New Economy Fund Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0081.HK,"CHINA OVERSEAS GRAND OCEANS GROUP LTD.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0082.HK,"V1 Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0083.HK,"Sino Land Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0084.HK,"Stelux Holdings International Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0085.HK,"China Electronics Huada Technology Co Ld",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0086.HK,"Sun Hung Kai & Co. Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0087.HK,"SWIRE PAC LTD/REG SH B NPV",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0088.HK,"Tai Cheung Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0089.HK,"Tai Sang Land Development",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0090.HK,"Puxing Clean Energy Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0091.HK,"International Standard Resrcs Hldgs Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0092.HK,"Champion Technology Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0093.HK,"Termbray Industries Intl (Holdings) Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0094.HK,"Greenheart Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0095.HK,"LVGEM (China) Real Estate Inve Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0096.HK,"Yusei Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0097.HK,"Henderson Investment Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0098.HK,"Xingfa Aluminium Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0099.HK,"Wong's International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0100.HK,"Clear Media Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0101.HK,"Hang Lung Properties Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0102.HK,"Summit Ascent Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0103.HK,"Shougang Concord Century Holdings Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0104.HK,"Asia Commercial Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0105.HK,"Associated International Hotels Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0106.HK,"Landsea Green Group Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0107.HK,"SICHUAN EXPWY/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0108.HK,"GR Properties Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0109.HK,"Good Resources Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0110.HK,"China Fortune Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0111.HK,"Cinda International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0112.HK,"Lerthai Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0113.HK,"Dickson Concepts (International) Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0114.HK,"Herald Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0115.HK,"Grand Field Group Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0116.HK,"Chow Sang Sang Holdings Intrnl Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0117.HK,"Tianli Holdings Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0118.HK,"Cosmos Machinery Enterprises Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0119.HK,"Poly Property Group Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0120.HK,"Cosmopolitan International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0121.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0122.HK,"Crocodile Garments Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0123.HK,"Yuexiu Property Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0124.HK,"Guangdong Land Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0125.HK,"Sun Hing Vision Group Holdings Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0126.HK,"Carrianna Group Holdings Company Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0127.HK,"Chinese Estates Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0128.HK,"ENM Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0129.HK,"Asia Standard International Group Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0130.HK,"Moiselle International Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0131.HK,"Cheuk Nang (Holdings) Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0132.HK,"China Investments Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0133.HK,"China Merchants China Direct Investments",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0135.HK,"Kunlun Energy Company Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0136.HK,"HengTen Networks Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0137.HK,"Jinhui Holdings Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0138.HK,"CCT Fortis Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0139.HK,"Central Wealth Group Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0141.HK,"Sky Chinafortune Holdings Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0142.HK,"First Pacific Company Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0143.HK,"Guoan International Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0144.HK,"China Merchants Port Holdings Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0145.HK,"The Hong Kong Building and Loan Agency",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0146.HK,"Tai Ping Carpets Group",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0147.HK,"International Business Setlmnt Hlds Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0148.HK,"Kingboard Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0149.HK,"China Agri-Products Exchange Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0150.HK,"Hypebeast Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0151.HK,"Want Want China Holdings Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0152.HK,"Shenzhen International Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0153.HK,"China Saite Group Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0154.HK,"Beijing Enterprises Environment GroupLtd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0155.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0156.HK,"Lippo China Resources Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0157.HK,"Natural Beauty Bio-Technology Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0158.HK,"Melbourne Enterprises Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0159.HK,"Brockman Mining Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0160.HK,"Hon Kwok Land Investment Co. Ltd.",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0161.HK,"AVIC International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0162.HK,"Century Ginwa Retail Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0163.HK,"Emperor International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0164.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0165.HK,"China Everbright Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0166.HK,"New Times Energy Corporation Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0167.HK,"IDT International Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0168.HK,"TSINGTAO BREWER/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0169.HK,"Wanda Hotel Development Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0170.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0171.HK,"Silver Grant International HoldngsGrpLtd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0172.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0173.HK,"K. Wah International Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0174.HK,"Gemini Investments (Holdings) Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0175.HK,"Geely Automobile Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0176.HK,"Superactive Group Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0177.HK,"JIANGSU EXPWY/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0178.HK,"Sa Sa International Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0179.HK,"Johnson Electric Holdings Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0180.HK,"Kader Holdings Co Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0181.HK,"Fujian Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0182.HK,"Concord New Energy Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0183.HK,"Winfull Group Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0184.HK,"Keck Seng Investments Hong Kong Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0185.HK,"Zensun Enterprises Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0186.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0187.HK,"JINGCHENG MAC/Shs H Vtg 1.00",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0188.HK,"Sunwah Kingsway Capital Holdings Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0189.HK,"Dongyue Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0190.HK,"Hkc (Holdings) Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0191.HK,"Lai Sun Garment (International) Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0193.HK,"Capital Estate Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0194.HK,"Liu Chong Hing Investment Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0195.HK,"Greentech Technology International Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0196.HK,"Honghua Group Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0197.HK,"Heng Tai Consumables Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0198.HK,N/A,,"Hong Kong Stock Exchange",HKEX,HKT
0199.HK,"ITC Properties Group Limited",HKD,"Hong Kong Stock Exchange",HKEX,HKT
0200.HK,"Melco International Development Ltd",HKD,"Hong Kong Stock Exchange",HKEX,HKT
